Date, Datalogger Freq, Accelerometer X Axis, Accelerometer Y Axis, Accelerometer Z Axis, Gyroscope X Axis, Gyroscope Y Axis, Gyroscope Z Axis, 
00:07:12:875, 0, -551796, -59484, 2423062, -18969471, 17870234, 38984744, 
00:07:12:886, 0, -884281, -501140, 718046, -13885500, 23465655, 37244285, 
00:07:12:898, 0, 1111187, 1946406, 488437, -11458018, 28748099, 35022910, 
00:07:12:910, 0, -1842187, -733031, -2680921, -9519086, 23229014, 34366422, 
00:07:12:921, 0, 140953, -1168328, 3207703, -11770995, 30419856, 31137413, 
00:07:12:937, 0, -1136640, 262468, -424906, -12114507, 30312985, 28923672, 
00:07:12:949, 0, -141921, 1549281, 957421, -10916033, 23511457, 28068710, 
00:07:12:960, 0, -3558796, -549468, -3353734, -9877865, 4969467, 30488558, 
00:07:12:972, 0, 554328, 157359, -4020375, -8404582, 1312977, 29832069, 
00:07:12:984, 0, -327656, 841046, -385640, -6129772, -1526718, 30000008, 
00:07:13:00, 0, 356843, -1522234, 1682750, -4526718, -12427484, 31534360, 
00:07:13:11, 0, 2556500, 186562, 1836531, -5129772, -19106875, 31076344, 
00:07:13:23, 0, -1619187, 1686031, -688625, -16755730, -24893136, 31557261, 
00:07:13:35, 0, -1179000, 1639812, -1229296, -11793896, -17755730, 30183214, 
00:07:13:46, 0, 1296375, 1944953, 2841062, -6404582, -26274816, 32496192, 
00:07:13:74, 0, -229078, -392296, -2608515, -32809169, -4427482, 26984740, 
00:07:13:85, 0, 67140, -112468, -1775343, -29763367, -6061070, 27541992, 
00:07:13:97, 0, -497015, -8265, 1460812, -32580162, -38167, 26786267, 
00:07:13:109, 0, -474687, -23625, 672375, -34801536, -1068702, 27549626, 
00:07:13:125, 0, -130718, 904359, 1847437, -30702298, 3671756, 26969473, 
00:07:13:136, 0, -26187, 1031718, 1774812, -27267183, 5381680, 26816801, 
00:07:13:148, 0, 300484, 868171, -256718, -22541991, -679389, 27862603, 
00:07:13:160, 0, 1077671, 506921, 2199968, -22221380, 5236642, 26580160, 
00:07:13:171, 0, -738062, -599015, -1402000, -20923670, 2183206, 27137412, 
00:07:13:187, 0, -272546, 185515, 1909359, -20488555, -1977099, 27526725, 
00:07:13:199, 0, -45031, 186515, 191406, -17664127, -12587789, 29122145, 
00:07:13:210, 0, -138453, 883734, 1044359, -12053438, -20877868, 30114512, 
00:07:13:222, 0, 281750, 373078, 1775203, -8305345, -25603060, 30412222, 
00:07:13:234, 0, -38312, -198375, 918531, -8106872, -28236649, 29564894, 
00:07:13:250, 0, -65812, -325156, 1075187, -6740459, -32816803, 28885504, 
00:07:13:261, 0, 181078, 439890, 1016562, -1839695, -38748102, 28305351, 
00:07:13:296, 0, 187718, 283890, -1073531, -5954200, -37603064, 20297715, 
00:07:13:312, 0, -170234, 326296, 1074109, -99236, -36595430, 16832065, 
00:07:13:324, 0, -604437, -215703, 1075140, 4076337, -33664131, 12824431, 
00:07:13:347, 0, 51359, -645484, 597890, 11236644, -23007640, 3679390, 
00:07:13:363, 0, 167515, -8406, 1910625, 12297713, -16854966, -1648855, 
00:07:13:375, 0, 67437, 87218, 1404390, 16076340, -15664126, -5519085, 
00:07:13:386, 0, -132015, -535484, 1814203, 14381683, -16274813, -8977101, 
00:07:13:398, 0, -482687, 400640, 906093, 14740462, -15206111, -11984736, 
00:07:13:410, 0, 121625, 197687, 58843, 18496188, -16358783, -14328248, 
00:07:13:425, 0, -14203, 245609, 472468, 21290082, -15297714, -16648859, 
00:07:13:437, 0, -49796, 353609, -86437, 25374053, -16755730, -18450387, 
00:07:13:449, 0, 328093, 55593, -9046, 26351152, -18244280, -19809166, 
00:07:13:460, 0, -49390, -191578, 1476453, 26114511, -21290082, -20625960, 
00:07:13:472, 0, 270234, 249296, 1854390, 26259549, -22541991, -21580158, 
00:07:13:488, 0, 56953, 284718, 1313390, 26244282, -23992373, -21984739, 
00:07:13:500, 0, 451593, 312984, 494234, 28832069, -25801534, -21824433, 
00:07:13:511, 0, -103093, 236359, 518234, 27274817, -28244283, -20893135, 
00:07:13:523, 0, 554312, 147468, 1038828, 25595427, -31343520, -18442753, 
00:07:13:535, 0, 458437, 217781, 689843, 17068707, -34389322, -15549622, 
00:07:13:550, 0, 440515, 93609, 288828, 9366414, -36908407, -12610690, 
00:07:13:562, 0, 490234, 356078, 1074250, 4374047, -39549629, -9290079, 
00:07:13:574, 0, 519609, -6046, 1050156, 496183, -40251920, -6274810, 
00:07:13:585, 0, 454171, 192140, 1451234, 702290, -39763370, -3717558, 
00:07:13:597, 0, 477062, 293390, 761625, -1282443, -38389324, -2190840, 
00:07:13:613, 0, 363015, 248156, 1368203, -793893, -38969476, -343511, 
00:07:13:625, 0, 320000, 291343, 964234, -862595, -41145050, 1259542, 
00:07:13:636, 0, 182062, 292062, 1000875, 1190840, -44763371, 2778626, 
00:07:13:648, 0, 52609, 150156, 1226312, 3709924, -45992379, 3992367, 
00:07:13:660, 0, -35437, 80234, 1348734, 4870230, -44427493, 4671757, 
00:07:13:687, 0, -485578, 48640, 653796, 9000002, -37778636, 3007634, 
00:07:13:699, 0, -198562, 252328, 720046, 11160308, -36648865, 1648855, 
00:07:13:710, 0, -159265, 43593, 922734, 12610690, -36358789, -320610, 
00:07:13:722, 0, -327796, 203171, 1164625, 17229012, -35908407, -2198473, 
00:07:13:738, 0, -180468, 420968, 671984, 21419853, -36396957, -4297711, 
00:07:13:750, 0, -423906, 370093, 103343, 27404588, -40198484, -6152673, 
00:07:13:761, 0, -358453, 202312, 26156, 32854971, -42091615, -8977101, 
00:07:13:773, 0, -630703, 203281, -225734, 39938942, -48251922, -11053438, 
00:07:13:785, 0, -114546, 998937, 1905718, 40641233, -45564898, -14702294, 
00:07:13:800, 0, -108171, 238453, 2109843, 7992368, -49832075, -17152676, 
00:07:13:812, 0, -363875, 325687, 1768171, 1114504, -35068712, -22290082, 
00:07:13:824, 0, 609, -99234, 973906, -2274809, -26381687, -24618327, 
00:07:13:835, 0, 150875, -176265, 1196421, -10541987, -20748097, -26099244, 
00:07:13:847, 0, 119078, 73656, 885109, -15580157, -15671760, -27870237, 
00:07:13:863, 0, 276687, 363156, 1290609, -18152677, -15282447, -26290083, 
00:07:13:875, 0, 452078, 154656, 1187796, -21412219, -17748096, -23427487, 
00:07:13:886, 0, 440421, 307484, 1014625, -23351151, -20839700, -19839700, 
00:07:13:898, 0, 389250, 256968, 1120343, -27022908, -21038174, -16572523, 
00:07:13:937, 0, 732234, -91812, 1616843, -32732833, -17076340, -9938934, 
00:07:13:949, 0, 698281, 183984, 1141000, -42702302, -20458021, -7503818, 
00:07:13:960, 0, 358156, 162734, 1545453, -47366425, -48786273, -1374046, 
00:07:13:972, 0, 235781, 177828, 629687, -28068710, -43557264, -534351, 
00:07:13:988, 0, 139359, 195234, 1613421, -14916034, -39671767, 809160, 
00:07:14:00, 0, -258062, 640281, 1637984, -2496183, -32358788, 160305, 
00:07:14:11, 0, 450437, 333890, 783312, 11381682, -26740465, -1145038, 
00:07:14:23, 0, 155312, 153140, 1120375, 15709928, -24496190, -3076336, 
00:07:14:35, 0, -25171, 83656, 1006546, 9229010, -23992373, -5519085, 
