Date, Datalogger Freq, Accelerometer X Axis, Accelerometer Y Axis, Accelerometer Z Axis, Gyroscope X Axis, Gyroscope Y Axis, Gyroscope Z Axis, 
00:06:22:597, 0, 419921, 106734, 2919875, -75244296, 38343522, 133282481, 
00:06:22:609, 0, 862703, -627234, 711531, -86732849, 35351155, 128435151, 
00:06:22:621, 0, 392703, 581859, -208359, -85954223, 26419854, 124099272, 
00:06:22:632, 0, 537890, -590765, 1680375, -81175596, 26366419, 120595454, 
00:06:22:648, 0, 448578, -290328, 2215453, -77167961, 25984740, 116778659, 
00:06:22:660, 0, -164843, -319000, 3739750, -69923684, 33229017, 113549651, 
00:06:22:695, 0, 288890, 77843, -552468, -32068711, 65618339, 107190870, 
00:06:22:710, 0, 306656, 1759640, -371250, -32206116, 88839720, 110374077, 
00:06:22:722, 0, 78125, 572375, -532687, -64305362, 106198504, 117793927, 
00:06:22:734, 0, -264828, 222828, -72281, -64297728, 104534381, 120610722, 
00:06:22:746, 0, -713812, 796281, 983921, -76519106, 82503840, 124992402, 
00:06:22:757, 0, -478109, 905593, -550953, -79076358, 53748107, 127297746, 
00:06:22:773, 0, -94625, 497187, -110890, -80274832, 28465657, 132152710, 
00:06:22:785, 0, -263687, 826953, 1044203, -75908418, 19236646, 137740497, 
00:06:22:796, 0, 273734, 705546, -1835250, -75740479, 3351146, 145297752, 
00:06:22:808, 0, -79890, 807781, 126187, -103313007, -17259546, 154229052, 
00:06:22:820, 0, 63859, -3599750, -1626062, -100969494, -48755739, 158816839, 
00:06:22:835, 0, -2392031, 6446578, 2717046, -72641242, -76312999, 160580199, 
00:06:22:847, 0, -258921, -1717171, -2296890, -32610696, -58221390, 166511498, 
00:06:22:859, 0, 2530687, -1160156, -199718, -36877873, 32824437, 179740510, 
00:06:22:871, 0, 334093, 3825765, 235343, -50732839, 92404606, 189274864, 
00:06:22:882, 0, 880812, -607875, 939203, -62801544, 115351178, 192206162, 
00:06:22:898, 0, -1390109, 235203, 3459812, -81633611, 119534385, 190969521, 
00:06:22:910, 0, -337812, 90437, 825281, -81923687, 100419876, 187496237, 
00:06:22:921, 0, -540265, 1595453, 1709406, -73839716, 90526743, 181282495, 
00:06:22:945, 0, -579218, 2175375, 1313296, -104045831, 30389321, 172717607, 
00:06:22:960, 0, -29796, 764312, -469625, -77916053, 23610693, 167603102, 
00:06:22:972, 0, -735718, 574078, 3974687, -87106895, 4740459, 162725238, 
00:06:22:984, 0, -201437, 1076890, 3159609, -91114530, -4076337, 156877908, 
00:06:22:996, 0, -334812, 393703, 2013640, -66137423, -15702294, 149389356, 
00:06:23:07, 0, -66781, 826390, 790609, -56038184, -30106878, 141587827, 
00:06:23:23, 0, -204312, -490531, 1948968, -65328263, -34198483, 137274848, 
00:06:23:35, 0, 369750, 260562, 1679812, -79412236, -15099241, 134374084, 
00:06:23:46, 0, 143093, 1044031, 785390, -76435136, 16603058, 131923702, 
00:06:23:58, 0, -89078, 681968, 3567375, -86717582, 33572528, 129007671, 
00:06:23:70, 0, -400343, 342562, 1528046, -101862624, 35893140, 125801563, 
00:06:23:85, 0, -36515, 592062, 1645562, -102396976, 30015275, 120641256, 
00:06:23:97, 0, -293156, 199515, 278218, -102793922, 19870234, 115526751, 
00:06:23:109, 0, -283750, -289359, 458187, -101801556, 19259547, 111061100, 
00:06:23:121, 0, -363671, 1336500, 661453, -98557280, 16404584, 106419878, 
00:06:23:132, 0, -472015, 1125625, 1592421, -83603077, 11664125, 100625983, 
00:06:23:148, 0, -638062, 538781, 2066468, -74534372, 6007635, 95038195, 
00:06:23:183, 0, -177078, 3406, 2208718, -47519097, -4839696, 78366434, 
00:06:23:195, 0, 88781, -417484, 470062, -57404596, 3114504, 76427503, 
00:06:23:210, 0, 30953, 131843, 1263281, -64076354, 5145039, 73564906, 
00:06:23:222, 0, -31968, 748187, -154828, -57732841, 5328245, 69656508, 
00:06:23:234, 0, 152500, -90640, 1320265, -44351157, 2244275, 64213759, 
00:06:23:246, 0, -140203, 44906, 1575781, -52656503, -7824429, 61305361, 
00:06:23:273, 0, 21953, 975781, 1699468, -62503834, 3328245, 57190856, 
00:06:23:285, 0, -1108093, -514343, 1109125, -60717574, 13992370, 55297725, 
00:06:23:296, 0, -454078, 741765, 2464781, -47099250, 8946567, 48106884, 
00:06:23:308, 0, -742656, -238796, 1158031, -51450396, 1541985, 43664134, 
00:06:23:320, 0, -641515, 128203, 103750, -43480928, -16511455, 37251919, 
00:06:23:335, 0, -522578, 690421, -113250, -32259551, -23503823, 30748100, 
00:06:23:347, 0, -185515, -493093, 1142937, -31152680, -23801533, 25725198, 
00:06:23:359, 0, -173109, -306515, 1044484, -29167947, -23099243, 21702296, 
00:06:23:371, 0, -384625, 98125, 2272765, -20045807, -12824431, 18717562, 
00:06:23:382, 0, -117546, 427109, 1529000, -15488554, -8732826, 14641225, 
00:06:23:398, 0, -723703, 506546, 1599046, -15259546, -6374047, 8305345, 
00:06:23:410, 0, -677328, -550250, 1930765, -13152675, -10824430, 4106871, 
00:06:23:421, 0, -246875, -516500, 1569390, -8633590, -13488553, -160305, 
00:06:23:433, 0, 352203, -13093, -1399046, 549618, -21916036, -6320612, 
